TF	Target	rank	confidence	stroke	stroke-width	stroke-dasharray
Hoxd4	Il12rb2	0.60656	0.38886	rgb(221,143,144)	1.8	2,2
Hoxd4	Rdh10	-0.60656	-0.13232	rgb(188,200,222)	1.1833	2,2
Hsf1	Timd2	0.60656	0.14326	rgb(219,190,190)	1.8	2,2
Ikzf5	Ncs1	0.60656	0.27562	rgb(220,164,165)	1.8	2,2
Irf4	Cox17	0.60656	0.62771	rgb(224, 97, 98)	1.8	2,2
Irf4	Ms4a4b	0.60656	0.44719	rgb(222,132,132)	1.8	2,2
Irf5	Ptprf	-0.60656	-0.15261	rgb(184,197,223)	1.1833	2,2
Irf7	Ripk2	0.60656	0.23637	rgb(220,172,172)	1.8	2,2
Irf7	Trib3	0.60656	0.18545	rgb(219,182,182)	1.8	2,2
Irf8	Abcb1b	0.60656	0.28222	rgb(220,163,164)	1.8	2,2
Jdp2	St7	0.60656	0.26142	rgb(220,167,168)	1.8	2,2
Jdp2	Tyw1	0.60656	0.43948	rgb(222,133,134)	1.8	2,2
Jun	Inpp5a	0.60656	0.10817	rgb(218,196,197)	1.8	2,2
Jun	Mcoln2	-0.60656	-0.13153	rgb(188,200,222)	1.1833	2,2
Junb	Pgm1	0.60656	0.22187	rgb(219,175,175)	1.8	2,2
Klf12	Ripk3	0.60656	0.29487	rgb(220,161,161)	1.8	2,2
Klf12	Tcf25	0.60656	0.57181	rgb(223,108,109)	1.8	2,2
Klf2	Fads2	-0.60656	-0.25701	rgb(161,183,227)	1.1833	2,2
Klf3	Trim24	0.60656	0.1726	rgb(219,184,184)	1.8	2,2
Klf4	Minpp1	-0.60656	-0.17455	rgb(179,194,224)	1.1833	2,2
Klf4	Ndrg1	0.60656	0.4645	rgb(222,128,129)	1.8	2,2
Klf4	Vim	0.60656	0.33944	rgb(221,152,153)	1.8	2,2
Klf5	Ebag9	-0.60656	-0.52347	rgb(103,148,237)	1.1833	2,2
Klf5	Flna	0.60656	0.40967	rgb(222,139,140)	1.8	2,2
Klf5	Fundc2	-0.60656	-0.44066	rgb(121,159,234)	1.1833	2,2
Klf5	Nucks1	-0.60656	-0.5025	rgb(108,151,236)	1.1833	2,2
Klf7	Ddit3	0.60656	0.30865	rgb(220,158,159)	1.8	2,2
Klf7	Nkain1	0.60656	0.19231	rgb(219,180,181)	1.8	2,2
Klf7	Rab4b	0.60656	0.18808	rgb(219,181,181)	1.8	2,2
Klf8	Timd2	0.60656	0.16327	rgb(219,186,186)	1.8	2,2
Lhx6	Rpgrip1	0.60656	0.16216	rgb(219,186,186)	1.8	2,2
Lyl1_Tal2	Plagl1	-0.60656	-0.17137	rgb(180,194,224)	1.1833	2,2
Maf	Eid1	0.60656	0.24544	rgb(220,170,171)	1.8	2,2
Mafb	Nr4a1	-0.60656	-0.15248	rgb(184,197,223)	1.1833	2,2
Mef2b	Syf2	0.60656	0.68031	rgb(224, 87, 88)	1.8	2,2
Meis1	Sik1	-0.60656	-0.21827	rgb(170,188,225)	1.1833	2,2
Meis2	Nsmaf	0.60656	0.26478	rgb(220,166,167)	1.8	2,2
Meis2	Rpgrip1	0.60656	0.15669	rgb(219,187,187)	1.8	2,2
Meis3	Herc4	0.60656	0.15744	rgb(219,187,187)	1.8	2,2
Meis3	Tg	0.60656	0.41573	rgb(222,138,138)	1.8	2,2
Meis3	Tspan3	0.60656	0.17775	rgb(219,183,183)	1.8	2,2
Mxi1	Adck1	0.60656	0.50999	rgb(223,120,121)	1.8	2,2
Myc	Rcan3	-0.60656	-0.34961	rgb(141,171,230)	1.1833	2,2
Nfat5	Zeb1	-0.60656	-0.17553	rgb(179,194,224)	1.1833	2,2
Nfatc1	Igf2r	0.60656	0.26269	rgb(220,167,167)	1.8	2,2
Nfatc2	Pgam1	0.60656	0.14755	rgb(219,189,189)	1.8	2,2
Nfe2	Runx2	0.60656	0.20318	rgb(219,178,179)	1.8	2,2
Nfia	Mfge8	0.60656	0.1892	rgb(219,181,181)	1.8	2,2
Nfia	Rel	0.60656	0.51601	rgb(223,118,119)	1.8	2,2
Nfil3	Impa2	-0.60656	-0.24529	rgb(164,185,226)	1.1833	2,2
Nfkb2	Lif	0.60656	0.18946	rgb(219,181,181)	1.8	2,2
Nhlh1	Abcg1	0.60656	0.18961	rgb(219,181,181)	1.8	2,2
Nhlh1	Ankrd13c	-0.60656	-0.14124	rgb(186,198,222)	1.1833	2,2
Nkx3-1	Fut8	0.60656	0.13908	rgb(219,190,191)	1.8	2,2
Nkx3-1	Lclat1	0.60656	0.28084	rgb(220,163,164)	1.8	2,2
Npas2	Naca	0.60656	0.28365	rgb(220,163,163)	1.8	2,2
Nr2f1	Rps6ka2	-0.60656	-0.37239	rgb(136,168,231)	1.1833	2,2
Nr2f6	Gypc	0.60656	0.23621	rgb(220,172,172)	1.8	2,2
Nr4a1	Ncoa1	-0.60656	-0.24615	rgb(164,185,226)	1.1833	2,2
Nr4a2	Cd96	0.60656	0.20535	rgb(219,178,178)	1.8	2,2
Nr4a2	Serpinb6b	0.60656	0.27375	rgb(220,165,165)	1.8	2,2
Plag1	Ltb	0.60656	0.11994	rgb(218,194,194)	1.8	2,2
Plag1	Pbx2	0.60656	0.66716	rgb(224, 90, 91)	1.8	2,2
Plagl2	Marveld1	0.60656	0.27083	rgb(220,165,166)	1.8	2,2
Plagl2	Stra6	0.60656	0.3714	rgb(221,146,147)	1.8	2,2
Pou2af1	Pim1	0.60656	0.27155	rgb(220,165,166)	1.8	2,2
Pou2f2	Marcksl1	0.60656	0.11404	rgb(218,195,195)	1.8	2,2
Pou6f1	Ndst1	0.60656	0.26207	rgb(220,167,167)	1.8	2,2
Ppard	Pim1	0.60656	0.24403	rgb(220,170,171)	1.8	2,2
Ppard	Sars	0.60656	0.30995	rgb(220,158,158)	1.8	2,2
Pparg	Sf3b3	0.60656	0.63197	rgb(224, 96, 98)	1.8	2,2
Pparg	Tg	-0.60656	-0.33324	rgb(145,173,230)	1.1833	2,2
Prdm1	Dram2	0.60656	0.55072	rgb(223,112,113)	1.8	2,2
Prdm1	Ube2v1	-0.60656	-0.20193	rgb(173,190,225)	1.1833	2,2
Prox1	Rgs16	-0.60656	-0.082499	rgb(199,206,220)	1.1833	2,2
Prox1	Slc39a8	0.60656	0.14603	rgb(219,189,189)	1.8	2,2
Rarg	Cd96	-0.60656	-0.20683	rgb(172,190,225)	1.1833	2,2
Rarg	Fosl2	0.60656	0.26441	rgb(220,166,167)	1.8	2,2
Rarg	Ifitm3	0.60656	0.29006	rgb(220,162,162)	1.8	2,2
Rbpj	Capg	-0.60656	-0.45134	rgb(119,157,234)	1.1833	2,2
Rbpj	Trim12a	0.60656	0.35969	rgb(221,148,149)	1.8	2,2
Rela	Cxcr5	-0.60656	-0.41439	rgb(127,162,233)	1.1833	2,2
Rela	Mapkapk2	-0.60656	-0.23873	rgb(165,185,226)	1.1833	2,2
Relb	Nfe2l2	0.60656	0.33448	rgb(221,153,154)	1.8	2,2
Rest	Dgat1	0.60656	0.61787	rgb(224, 99,100)	1.8	2,2
Rfx3	Gatm	0.60656	0.34462	rgb(221,151,152)	1.8	2,2
Rfx3	Pmm1	0.60656	0.21578	rgb(219,176,176)	1.8	2,2
Rreb1	Rcl1	-0.60656	-0.20184	rgb(173,190,225)	1.1833	2,2
Rreb1	Smarca2	0.60656	0.46003	rgb(222,129,130)	1.8	2,2
Rreb1	Ube2v1	-0.60656	-0.22193	rgb(169,188,225)	1.1833	2,2
Runx1	Enah	0.60656	0.17455	rgb(219,184,184)	1.8	2,2
Rxrb	St3gal1	0.60656	0.13838	rgb(219,191,191)	1.8	2,2
Scrt1	Cd5l	-0.60656	-0.30095	rgb(152,177,228)	1.1833	2,2
Six5	Calcrl	-0.60656	-0.085782	rgb(198,206,220)	1.1833	2,2
Six5	Cmas	-0.60656	-0.17566	rgb(179,194,224)	1.1833	2,2
Six5	Ece1	0.60656	0.16582	rgb(219,185,186)	1.8	2,2
Smad3	Adam19	0.60656	0.7477	rgb(225, 74, 76)	1.8	2,2
Smad3	Ctsw	0.60656	0.37237	rgb(221,146,147)	1.8	2,2
Sox13	Fbxo2	-0.60656	-0.23496	rgb(166,186,226)	1.1833	2,2
Sox5	Igtp	0.60656	0.31988	rgb(221,156,157)	1.8	2,2
Sox6	Ehd3	0.60656	0.33817	rgb(221,152,153)	1.8	2,2
Sp2	Notch1	-0.60656	-0.59527	rgb( 88,138,240)	1.1833	2,2
Sp2	Pex19	0.60656	0.23233	rgb(220,173,173)	1.8	2,2
Sp2	Rps14	0.60656	0.48989	rgb(222,123,124)	1.8	2,2
Sp3	Akap12	0.60656	0.25676	rgb(220,168,168)	1.8	2,2
Sp3	Rnf19b	0.60656	0.3779	rgb(221,145,146)	1.8	2,2
Sp4	Klf13	0.60656	0.19828	rgb(219,179,180)	1.8	2,2
Sp4	Phldb1	0.60656	0.22004	rgb(219,175,175)	1.8	2,2
Sp5_Sp6	Sec24d	0.60656	0.28035	rgb(220,163,164)	1.8	2,2
Sp7_Sp8...	Fbxo2	0.60656	0.24837	rgb(220,170,170)	1.8	2,2
Spib	Epsti1	0.60656	0.46581	rgb(222,128,129)	1.8	2,2
Spib	Gbp4	0.60656	0.30278	rgb(220,159,160)	1.8	2,2
Srf	App	0.60656	0.070689	rgb(218,203,204)	1.8	2,2
Stat1	Flot2	0.60656	0.36198	rgb(221,148,149)	1.8	2,2
Stat1	Gimap4	0.60656	0.31255	rgb(220,157,158)	1.8	2,2
Stat1	Gpr146	0.60656	0.47265	rgb(222,127,128)	1.8	2,2
Stat1	Il4ra	0.60656	0.3417	rgb(221,152,152)	1.8	2,2
Stat3	Chmp4b	0.60656	0.91875	rgb(227, 42, 43)	1.8	2,2
Stat3	Hook2	0.60656	0.48617	rgb(222,124,125)	1.8	2,2
Stat3	Slamf6	-0.60656	-0.43998	rgb(122,159,234)	1.1833	2,2
Stat4	Gpr146	0.60656	0.45408	rgb(222,130,131)	1.8	2,2
Stat4	Pter	-0.60656	-0.26169	rgb(160,182,227)	1.1833	2,2
Tbx21	Cbx4	-0.60656	-0.20244	rgb(173,190,225)	1.1833	2,2
Tbx21	Litaf	-0.60656	-0.19059	rgb(176,192,224)	1.1833	2,2
Tbx21	Slc14a1	-0.60656	-0.20313	rgb(173,190,225)	1.1833	2,2
Tcf12	Aacs	0.60656	0.32685	rgb(221,155,155)	1.8	2,2
Tcf12	Cttn	0.60656	0.52189	rgb(223,117,118)	1.8	2,2
Tcf3	Vapb	0.60656	0.31552	rgb(220,157,157)	1.8	2,2
Tcf7l1	Pim1	-0.60656	-0.2919	rgb(154,178,228)	1.1833	2,2
Tead1	Soat2	-0.60656	-0.20401	rgb(173,190,225)	1.1833	2,2
Tead3	Aste1	0.60656	0.11113	rgb(218,196,196)	1.8	2,2
Tef	Galnt3	0.60656	0.55452	rgb(223,111,112)	1.8	2,2
Thap1	Dffb	0.60656	0.61182	rgb(224,100,101)	1.8	2,2
Thap1	Siah1a	0.60656	0.26723	rgb(220,166,166)	1.8	2,2
Thra	Rxra	0.60656	0.15351	rgb(219,188,188)	1.8	2,2
Thrb	Pmm1	-0.60656	-0.22625	rgb(168,187,226)	1.1833	2,2
Topors	Ldlrap1	-0.60656	-0.51854	rgb(104,149,237)	1.1833	2,2
Topors	Ski	-0.60656	-0.33473	rgb(144,173,230)	1.1833	2,2
Trp53	Phlda3	0.60656	0.51796	rgb(223,118,119)	1.8	2,2
Trp73	Adipor2	-0.60656	-0.13124	rgb(189,200,222)	1.1833	2,2
Twist1	Ripk3	0.60656	0.2571	rgb(220,168,168)	1.8	2,2
Vax2	Bmp2k	-0.60656	-0.16661	rgb(181,195,223)	1.1833	2,2
Vdr	Ctla4	0.60656	0.22685	rgb(219,174,174)	1.8	2,2
Vdr	Pdcd1lg2	-0.60656	-0.25082	rgb(163,184,227)	1.1833	2,2
Vdr	Ptp4a1	-0.60656	-0.10019	rgb(195,204,221)	1.1833	2,2
Zbtb33	Rnf181	-0.60656	-0.53047	rgb(102,147,237)	1.1833	2,2
Zbtb7b	Brd3	0.60656	0.41876	rgb(222,137,138)	1.8	2,2
Zbtb7b	Mtss1	0.60656	0.55746	rgb(223,111,112)	1.8	2,2
Zbtb7b	Rps6ka3	0.60656	0.87587	rgb(227, 50, 51)	1.8	2,2
Zbtb7b	Usp22	0.60656	0.42818	rgb(222,135,136)	1.8	2,2
Zfhx2	Cd44	-0.60656	-0.20641	rgb(172,190,225)	1.1833	2,2
Zfp105	Vdac1	0.60656	0.45586	rgb(222,130,131)	1.8	2,2
Zfp148	Hsd17b7	-0.60656	-0.10282	rgb(195,203,221)	1.1833	2,2
Zfp148	Itgb1	-0.60656	-0.38518	rgb(133,166,232)	1.1833	2,2
Zfp148	Sertad1	0.60656	0.29002	rgb(220,162,162)	1.8	2,2
Zfp263	Gla	0.60656	0.34068	rgb(221,152,153)	1.8	2,2
Zfp263	Sars	0.60656	0.30208	rgb(220,159,160)	1.8	2,2
Zfp281	Nrip1	0.60656	0.2089	rgb(219,177,178)	1.8	2,2
Zfp281	Rasgrp1	0.60656	0.33463	rgb(221,153,154)	1.8	2,2
Zfp467	Ccl1	0.60656	0.28338	rgb(220,163,163)	1.8	2,2
Zfp652	Akr1c13	-0.60656	-0.17451	rgb(179,194,224)	1.1833	2,2
Zfp652	Il12rb2	0.60656	0.3576	rgb(221,149,149)	1.8	2,2
Zfp664	Slc29a3	0.60656	0.26217	rgb(220,167,167)	1.8	2,2
Zfx	Extl3	0.60656	0.36414	rgb(221,147,148)	1.8	2,2
Zfx	Plod2	-0.60656	-0.4911	rgb(110,152,236)	1.1833	2,2
Zfx	S100a6	-0.60656	-0.46307	rgb(117,156,235)	1.1833	2,2
Zic2	Zmat3	0.60656	0.22857	rgb(220,173,174)	1.8	2,2
Zkscan1	Dzip1	0.60656	0.13587	rgb(218,191,191)	1.8	2,2
Zscan10	Pou2f2	0.60656	0.43458	rgb(222,134,135)	1.8	2,2
Aebp2	Wdr82	-0.60656	-0.11863	rgb(191,201,222)	1.1833	2,2
Akna	Cep68	0.60656	0.32438	rgb(221,155,156)	1.8	2,2
Akna	Rps6	-0.60656	-0.2687	rgb(159,182,227)	1.1833	2,2
Akna	Tgoln1	-0.60656	-0.27531	rgb(157,181,227)	1.1833	2,2
Atmin	Cyth1	-0.60656	-0.074394	rgb(201,207,220)	1.1833	2,2
Atmin	Ick	0.60656	0.24056	rgb(220,171,172)	1.8	2,2
Cenpt	Soat2	0.60656	0.17039	rgb(219,184,185)	1.8	2,2
Csrnp1	Mmachc	-0.60656	-0.32651	rgb(146,174,229)	1.1833	2,2
Dach2	Grina	0.60656	0.38189	rgb(221,144,145)	1.8	2,2
Drap1	Rpl36al	0.60656	0.59126	rgb(224,104,105)	1.8	2,2
Foxp1	Gcnt2	-0.60656	-0.22201	rgb(169,188,225)	1.1833	2,2
Hes6	Stard10	0.60656	0.18159	rgb(219,182,183)	1.8	2,2
Klf10	Tgfbr1	0.60656	0.56054	rgb(223,110,111)	1.8	2,2
L3mbtl3	Lbp	-0.60656	-0.32946	rgb(146,174,230)	1.1833	2,2
Mxd4	Lgals3	0.60656	0.50312	rgb(223,121,122)	1.8	2,2
Ncoa1	Sdc3	0.60656	0.24331	rgb(220,171,171)	1.8	2,2
Ncoa2	Slc29a3	0.60656	0.29932	rgb(220,160,160)	1.8	2,2
Ncoa3	Nudt6	0.60656	0.12699	rgb(218,193,193)	1.8	2,2
Nr1h2	Tyms	-0.60656	-0.3077	rgb(150,176,229)	1.1833	2,2
Phf20	Hemk1	0.60656	0.17688	rgb(219,183,184)	1.8	2,2
Satb1	Nppc	-0.60656	-0.36276	rgb(138,169,231)	1.1833	2,2
Sgsm2	Thap4	0.60656	0.29844	rgb(220,160,161)	1.8	2,2
Skil	Map3k14	0.60656	0.30054	rgb(220,160,160)	1.8	2,2
Snapc2	Arhgdig	0.60656	0.2433	rgb(220,171,171)	1.8	2,2
Tal2	Endod1	0.60656	0.068177	rgb(218,204,204)	1.8	2,2
Tbx6	Rpn1	-0.60656	-0.17429	rgb(179,194,224)	1.1833	2,2
Tfdp2	Mfge8	0.60656	0.18615	rgb(219,181,182)	1.8	2,2
Tigd2	Mapkapk2	0.60656	0.25109	rgb(220,169,170)	1.8	2,2
Tigd2	Myo6	0.60656	0.11005	rgb(218,196,196)	1.8	2,2
Trps1	Cxcr3	0.60656	0.30367	rgb(220,159,160)	1.8	2,2
Tsc22d1	Trim26	0.60656	0.48491	rgb(222,124,125)	1.8	2,2
Zbtb26	Cebpg	0.60656	0.20496	rgb(219,178,178)	1.8	2,2
Zbtb26	Tmem173	-0.60656	-0.1673	rgb(181,195,223)	1.1833	2,2
Zbtb44	Creb1	0.60656	0.23704	rgb(220,172,172)	1.8	2,2
Zbtb46	Ncf1	0.60656	0.1929	rgb(219,180,181)	1.8	2,2
Zbtb46	Nfkb2	0.60656	0.36964	rgb(221,146,147)	1.8	2,2
Zbtb46	Tnfsf4	0.60656	0.79396	rgb(226, 65, 67)	1.8	2,2
Zfp111	Epcam	-0.60656	-0.20074	rgb(173,191,225)	1.1833	2,2
Zfp296	Basp1	0.60656	0.15652	rgb(219,187,187)	1.8	2,2
Zfp35	Sfmbt2	0.60656	0.41566	rgb(222,138,138)	1.8	2,2
Zfp358	Kctd17	0.60656	0.18389	rgb(219,182,182)	1.8	2,2
Zfp385a	Abhd4	0.60656	0.31569	rgb(220,157,157)	1.8	2,2
Zfp472	Fbxw2	0.60656	0.17181	rgb(219,184,185)	1.8	2,2
Zfp473	Cd96	-0.60656	-0.19392	rgb(175,191,224)	1.1833	2,2
Zfp580	Uqcrq	0.60656	0.31407	rgb(220,157,158)	1.8	2,2
Zfp597	Ccdc92	-0.60656	-0.16133	rgb(182,196,223)	1.1833	2,2
Zfp608	Sesn1	0.60656	0.29545	rgb(220,161,161)	1.8	2,2
Zfp629	Bpnt1	-0.60656	-0.21593	rgb(170,188,225)	1.1833	2,2
Zfp658	Larp1b	0.60656	0.30065	rgb(220,160,160)	1.8	2,2
Zfp667	Gripap1	-0.60656	-0.17616	rgb(179,194,224)	1.1833	2,2
Zfp750	Ppp1r10	0.60656	0.16425	rgb(219,186,186)	1.8	2,2
Zfp768	H1f0	0.60656	0.3779	rgb(221,145,146)	1.8	2,2
Zfp958	Ccng1	0.60656	0.55167	rgb(223,112,113)	1.8	2,2
Zfp960	Guca1b	-0.60656	-0.22424	rgb(168,187,226)	1.1833	2,2
Zhx2	Bmyc	0.60656	0.31165	rgb(220,157,158)	1.8	2,2
Zhx2	Ets2	0.60656	0.60098	rgb(224,102,103)	1.8	2,2
Zscan29	Atad2b	0.60656	0.3874	rgb(221,143,144)	1.8	2,2
Zscan29	Galk1	-0.60656	-0.35186	rgb(141,171,230)	1.1833	2,2
Ahr	Actn1	-0.59016	-0.1837	rgb(177,193,224)	1.1917	2,2
Ahrr	Mapk6	0.59016	0.29354	rgb(220,161,162)	1.7917	2,2
Ahrr	Mmd	-0.59016	-0.10141	rgb(195,204,221)	1.1917	2,2
Ar	Clk3	0.59016	0.24919	rgb(220,169,170)	1.7917	2,2
Arid3a	Pxn	-0.59016	-0.20295	rgb(173,190,225)	1.1917	2,2
Atf3	Auh	-0.59016	-0.21859	rgb(170,188,225)	1.1917	2,2
Bach1	Prkd3	0.59016	0.19744	rgb(219,179,180)	1.7917	2,2
Bach1	Reps1	0.59016	0.41412	rgb(222,138,139)	1.7917	2,2
Batf	Arid5a	0.59016	0.42307	rgb(222,136,137)	1.7917	2,2
Batf	Bmpr1a	0.59016	0.444	rgb(222,132,133)	1.7917	2,2
Batf	Ccr7	-0.59016	-0.093004	rgb(197,205,221)	1.1917	2,2
Bbx	Plod2	0.59016	0.46284	rgb(222,129,130)	1.7917	None
Bbx	Rap2b	-0.59016	-0.12944	rgb(189,200,222)	1.1917	2,2
Bcl6	Eef1a1	0.59016	0.49341	rgb(222,123,124)	1.7917	2,2
Bcl6	Lrba	0.59016	0.49038	rgb(222,123,124)	1.7917	2,2
Bcl6	Mpdu1	-0.59016	-0.26784	rgb(159,182,227)	1.1917	2,2
Bhlhe40	Zfp426	-0.59016	-0.54086	rgb(100,146,238)	1.1917	2,2
Bhlhe41	Slc14a1	0.59016	0.23582	rgb(220,172,172)	1.7917	2,2
Cebpb	BC021614	0.59016	0.3499	rgb(221,150,151)	1.7917	2,2
Cebpg	Acsl4	0.59016	0.33651	rgb(221,153,153)	1.7917	2,2
Cebpg	Nt5e	0.59016	0.22524	rgb(219,174,174)	1.7917	2,2
Cebpg	Vps54	0.59016	0.16603	rgb(219,185,186)	1.7917	2,2
Cic	Il1rn	0.59016	0.12261	rgb(218,194,194)	1.7917	2,2
Creb3l1	Tmed3	0.59016	0.36109	rgb(221,148,149)	1.7917	2,2
Creb3l2	Rpl24	0.59016	0.11246	rgb(218,196,196)	1.7917	2,2
Crem	Enah	-0.59016	-0.14084	rgb(186,198,222)	1.1917	2,2
Crem	Glcci1	0.59016	0.167	rgb(219,185,185)	1.7917	2,2
Crem	Hk2	-0.59016	-0.2519	rgb(162,184,227)	1.1917	2,2
Cux1	Cyp1b1	-0.59016	-0.27457	rgb(157,181,227)	1.1917	2,2
Cux1	Hlcs	0.59016	0.24063	rgb(220,171,172)	1.7917	2,2
Dmrt1	Slfn2	-0.59016	-0.087734	rgb(198,205,220)	1.1917	2,2
Dmrt2	Timd2	0.59016	0.19862	rgb(219,179,179)	1.7917	2,2
Dmrta2	Ggta1	0.59016	0.17946	rgb(219,183,183)	1.7917	2,2
E2f1	Ctnna1	0.59016	0.3105	rgb(220,158,158)	1.7917	2,2
E2f1	Idi1	0.59016	0.20229	rgb(219,178,179)	1.7917	2,2
Ebf1	Procr	-0.59016	-0.16397	rgb(181,195,223)	1.1917	2,2
Elf1	Atp6v1g1	0.59016	0.65367	rgb(224, 92, 93)	1.7917	2,2
Elf1	Pts	0.59016	0.63942	rgb(224, 95, 96)	1.7917	2,2
Elf1	Rgs14	-0.59016	-0.32816	rgb(146,174,229)	1.1917	2,2
Elk3	Bmp2k	0.59016	0.17769	rgb(219,183,183)	1.7917	2,2
Esr1	Gzmb	0.59016	0.19872	rgb(219,179,179)	1.7917	2,2
Etv6	Ptprcap	0.59016	0.47561	rgb(222,126,127)	1.7917	2,2
Fosl1	Adrb2	-0.59016	-0.68455	rgb( 68,127,243)	1.1917	2,2
Fosl1	Pcbp4	0.59016	0.44976	rgb(222,131,132)	1.7917	2,2
Fosl1	Pstpip1	0.59016	0.65368	rgb(224, 92, 93)	1.7917	2,2
Fosl1	Ube2v1	0.59016	0.19837	rgb(219,179,180)	1.7917	2,2
Fosl2	Tnfsf9	-0.59016	-0.15958	rgb(182,196,223)	1.1917	2,2
Fosl2	Tns1	0.59016	0.16024	rgb(219,186,187)	1.7917	2,2
Foxf2	Nudt4	0.59016	0.77992	rgb(226, 68, 70)	1.7917	2,2
Foxf2	Rtn4	0.59016	0.72605	rgb(225, 78, 80)	1.7917	2,2
Foxh1	Tspan6	-0.59016	-0.23135	rgb(167,186,226)	1.1917	2,2
Foxj1	Dnajc12	0.59016	0.40305	rgb(221,140,141)	1.7917	2,2
Foxk2_Foxp1...	Mapk11	0.59016	0.17218	rgb(219,184,184)	1.7917	2,2
Foxn2	Ccr7	0.59016	0.19168	rgb(219,180,181)	1.7917	2,2
Foxn2	Myb	0.59016	0.17624	rgb(219,183,184)	1.7917	2,2
Foxn3	Dlst	-0.59016	-0.15998	rgb(182,196,223)	1.1917	2,2
Foxn3	Ifitm3	0.59016	0.25041	rgb(220,169,170)	1.7917	2,2
Foxn3	Ppm1d	-0.59016	-0.10157	rgb(195,204,221)	1.1917	2,2
Foxo3	Bid	-0.59016	-0.15183	rgb(184,197,223)	1.1917	2,2
Foxo3	Eif4e3	0.59016	0.21564	rgb(219,176,176)	1.7917	2,2
Foxp3	Abcb9	0.59016	0.34954	rgb(221,150,151)	1.7917	2,2
Foxp3	Vps37b	0.59016	0.42349	rgb(222,136,137)	1.7917	2,2
Foxq1	Perp	0.59016	0.56584	rgb(223,109,110)	1.7917	2,2
Foxq1	Trappc10	-0.59016	-0.83394	rgb( 36,107,249)	1.1917	2,2
Foxq1	Vav1	-0.59016	-0.82139	rgb( 39,109,248)	1.1917	2,2
Foxs1	Dzip1	-0.59016	-0.13503	rgb(188,199,222)	1.1917	2,2
Gata1	Endod1	-0.59016	-0.058529	rgb(204,209,219)	1.1917	2,2
Gata1	Icam1	-0.59016	-0.18042	rgb(178,193,224)	1.1917	2,2
Gata2	Acad9	-0.59016	-0.19673	rgb(174,191,224)	1.1917	2,2
Glis2	Isg20	0.59016	0.18417	rgb(219,182,182)	1.7917	2,2
Glis2	Rexo4	0.59016	0.21122	rgb(219,177,177)	1.7917	2,2
Hbp1	Lrmp	0.59016	0.22518	rgb(219,174,174)	1.7917	2,2
Hbp1	Slc1a4	-0.59016	-0.15498	rgb(183,197,223)	1.1917	2,2
Hdx	Notch2	0.59016	0.22486	rgb(219,174,175)	1.7917	2,2
Hes1	Cmas	-0.59016	-0.2278	rgb(168,187,226)	1.1917	2,2
Hey1	Ptger2	-0.59016	-0.42868	rgb(124,160,233)	1.1917	None
Hey1	Sfmbt1	0.59016	0.38753	rgb(221,143,144)	1.7917	2,2
Hhex	Rbms2	-0.59016	-0.23156	rgb(167,186,226)	1.1917	2,2
Hic1	Pxn	0.59016	0.19139	rgb(219,180,181)	1.7917	2,2
Hif1a	Egln1	0.59016	0.9586	rgb(228, 34, 36)	1.7917	2,2
Hif1a	Jmjd6	0.59016	0.77065	rgb(225, 70, 71)	1.7917	2,2
Hif1a	Slc2a1	0.59016	0.66677	rgb(224, 90, 91)	1.7917	2,2
Hif1a	Slc2a3	0.59016	0.87254	rgb(227, 50, 52)	1.7917	2,2
Hif1a	Vapb	0.59016	0.23617	rgb(220,172,172)	1.7917	None
Hif3a	Ncf1	-0.59016	-0.14606	rgb(185,198,223)	1.1917	2,2
Hif3a	Satb1	0.59016	0.1313	rgb(218,192,192)	1.7917	2,2
Hmg20b	BC029722	-0.59016	-0.44631	rgb(120,158,234)	1.1917	2,2
Hoxd11	Arhgef3	0.59016	0.16701	rgb(219,185,185)	1.7917	2,2
Hoxd4	Il7r	0.59016	0.18444	rgb(219,182,182)	1.7917	2,2
Hsf1	Dnajc21	0.59016	0.20683	rgb(219,177,178)	1.7917	2,2
Hsf1	Pdxp	0.59016	0.11713	rgb(218,195,195)	1.7917	2,2
Hsf1	Tspan13	-0.59016	-0.22881	rgb(167,187,226)	1.1917	2,2
Hsf2	Batf	0.59016	0.12904	rgb(218,192,193)	1.7917	2,2
Ikzf2	Cnot1	-0.59016	-0.50893	rgb(107,150,236)	1.1917	2,2
Ikzf2	Naa20	0.59016	0.22174	rgb(219,175,175)	1.7917	2,2
Ikzf4	Adora2a	0.59016	0.16738	rgb(219,185,185)	1.7917	2,2
Ikzf4	Pkp4	0.59016	0.83987	rgb(226, 57, 58)	1.7917	2,2
Irf1	Cyth1	0.59016	0.08363	rgb(218,201,201)	1.7917	2,2
Irf1	Rtp4	0.59016	0.2539	rgb(220,169,169)	1.7917	2,2
Irf2	Alpk2	-0.59016	-0.20854	rgb(172,189,225)	1.1917	2,2
Irf2	Lpxn	-0.59016	-0.26971	rgb(158,181,227)	1.1917	2,2
Irf2	Nts	0.59016	0.19909	rgb(219,179,179)	1.7917	2,2
Irf4	Sms	0.59016	0.2739	rgb(220,165,165)	1.7917	2,2
Irf7	Eif4e3	0.59016	0.25811	rgb(220,168,168)	1.7917	2,2
Irf7	Runx2	0.59016	0.1524	rgb(219,188,188)	1.7917	2,2
Irf7	Vamp2	-0.59016	-0.41431	rgb(127,162,233)	1.1917	2,2
