TF	Target	rank	confidence	stroke	stroke-width	stroke-dasharray
Zfp516	Rgs16	-0.14754	-0.0055822	rgb(216,216,217)	1.4167	2,2
Zfp608	Ifi203	0.14754	0.067647	rgb(218,204,204)	1.5667	2,2
Zfp629	Cdk5	0.14754	0.041469	rgb(217,209,209)	1.5667	2,2
Zfp787	Qprt	0.14754	0.014098	rgb(217,214,214)	1.5667	2,2
Zfp937	Rpgrip1	0.14754	0.013119	rgb(217,214,215)	1.5667	2,2
Zkscan17	Dffb	-0.14754	-0.02807	rgb(211,213,218)	1.4167	2,2
Ascl2	Cdc23	0.13115	0.034433	rgb(217,210,210)	1.5583	2,2
Ascl2	Syf2	-0.13115	-0.050709	rgb(206,210,219)	1.425	2,2
Atf3	Fbxo2	-0.13115	-0.0066478	rgb(216,216,217)	1.425	2,2
Atf5	Wdr82	-0.13115	-0.0084242	rgb(215,216,217)	1.425	2,2
Bach1	Alpk2	-0.13115	-0.025953	rgb(211,214,218)	1.425	2,2
Bach1	Il12rb2	-0.13115	-0.01368	rgb(214,215,218)	1.425	2,2
Bach1	Tubgcp5	0.13115	0.028251	rgb(217,212,212)	1.5583	2,2
Batf	Asf1a	-0.13115	-0.046918	rgb(207,211,219)	1.425	2,2
Batf	Tmem38b	-0.13115	-0.015472	rgb(214,215,218)	1.425	2,2
Bcl6	Nedd4	0.13115	0.0093087	rgb(217,215,215)	1.5583	2,2
Bcl6	Tab2	0.13115	0.036269	rgb(217,210,210)	1.5583	2,2
Clock	Tapbpl	0.13115	0.030052	rgb(217,211,211)	1.5583	None
Creb3l1	Pdcd1	-0.13115	-0.018664	rgb(213,215,218)	1.425	2,2
Crem	Mgat4b	-0.13115	-0.017067	rgb(213,215,218)	1.425	2,2
Csda_Ybx2	Cxcr5	-0.13115	-0.031463	rgb(210,213,218)	1.425	2,2
Csda_Ybx2	Ralb	0.13115	0.039312	rgb(217,209,210)	1.5583	2,2
Dbp	Cd70	0.13115	0.050941	rgb(218,207,207)	1.5583	2,2
Dmrt1	Acss1	0.13115	0.020506	rgb(217,213,213)	1.5583	2,2
E2f1	Mecr	0.13115	0.058789	rgb(218,206,206)	1.5583	2,2
