TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Vdr	Cdk16	0.75421	0.579	rgb(223,106,108)	1.8734	2,2
Nr1d1	Efemp2	0.75297	0.47197	rgb(222,127,128)	1.8727	2,2
Hey1	Rpl36al	-0.75231	-0.61264	rgb( 84,136,240)	1.0972	2,2
Klf7	Yif1b	0.7523	0.64628	rgb(224, 94, 95)	1.8724	2,2
Tcf3	Ppp3cc	0.75223	0.69827	rgb(225, 84, 85)	1.8723	2,2
Hif1a	Mboat2	0.75152	0.47706	rgb(222,126,127)	1.872	2,2
Rest	Dcxr	0.75127	0.7421	rgb(225, 75, 77)	1.8719	2,2
Pou2f2	Zfpm1	-0.75099	-0.78389	rgb( 47,114,247)	1.0979	2,2
E2f4	Mxd3	0.75019	0.40775	rgb(221,139,140)	1.8713	2,2
Srebf2	Ptprcap	-0.74869	-0.62487	rgb( 81,135,241)	1.0991	2,2
E2f4	Gpsm2	0.74863	0.59429	rgb(224,103,105)	1.8705	2,2
Stat3	Atp2b4	0.74857	0.7421	rgb(225, 75, 77)	1.8705	2,2
Hif1a	Jmjd6	0.74794	0.47401	rgb(222,126,127)	1.8701	2,2
Zfhx3	Ppp1r3b	-0.74748	-0.64424	rgb( 77,132,241)	1.0997	2,2
Zfhx3	Zfp704	0.74719	0.8002	rgb(226, 64, 66)	1.8697	2,2
Zbtb46	Scin	0.74611	0.53721	rgb(223,114,115)	1.8692	2,2
Foxj1	Tmem43	0.74579	0.73089	rgb(225, 77, 79)	1.869	2,2
Rreb1	Ikbke	0.74553	0.72783	rgb(225, 78, 79)	1.8689	2,2
Irf5	Slc4a8	-0.74436	-0.59327	rgb( 88,139,240)	1.1013	2,2
Rfx1	Bbs5	0.74376	0.55963	rgb(223,110,111)	1.868	2,2
Epas1	Slc2a1	0.74361	0.63812	rgb(224, 95, 96)	1.8679	2,2
Klf7	Mdn1	-0.7435	-0.5474	rgb( 98,145,238)	1.1017	2,2
Bhlhe40	Znrf1	0.7432	0.78287	rgb(226, 67, 69)	1.8677	2,2
Rela	Mid2	0.74317	0.65749	rgb(224, 91, 93)	1.8677	2,2
Srebf1	Anln	0.74312	0.56983	rgb(223,108,109)	1.8677	2,2
Klf4	Nudt18	0.7421	0.56065	rgb(223,110,111)	1.8671	2,2
Pou2f2	Ppm1k	0.74014	0.70133	rgb(225, 83, 84)	1.8661	2,2
Klf8	Stoml1	0.73797	0.39246	rgb(221,142,143)	1.865	None
Sp3	Nfil3	0.73743	0.61672	rgb(224, 99,100)	1.8647	2,2
Bbx	Il10	0.73731	0.73904	rgb(225, 76, 77)	1.8647	2,2
Runx1	Maged2	0.73581	0.56575	rgb(223,109,110)	1.8639	2,2
Batf	Gem	0.73409	0.59021	rgb(223,104,105)	1.863	2,2
Zfp365	Psrc1	0.73358	0.64832	rgb(224, 93, 94)	1.8627	2,2
Hif1a	Ppme1	0.73294	0.63812	rgb(224, 95, 96)	1.8624	2,2
Zbtb7b	Tmbim1	-0.73263	-0.66361	rgb( 73,129,242)	1.1073	2,2
Erg	Tyms	-0.73215	-0.70234	rgb( 65,124,244)	1.1076	None
Klf4	Aplp1	0.73213	0.57085	rgb(223,108,109)	1.862	2,2
E2f1	Ptpn11	0.73192	0.49439	rgb(222,123,124)	1.8619	2,2
Trp53	Aldh4a1	0.73171	0.67584	rgb(224, 88, 89)	1.8618	2,2
Klf5	Tmem184b	0.73144	0.72579	rgb(225, 78, 80)	1.8616	2,2
Zbtb7b	Hist3h2a	-0.73074	-0.49337	rgb(110,152,236)	1.1083	2,2
Zbtb46	Penk	0.73068	0.72069	rgb(225, 79, 81)	1.8612	2,2
Elf1	Ctsb	-0.72977	-0.80224	rgb( 43,111,247)	1.1088	2,2
Foxp2	Sh2d4a	0.72931	0.58308	rgb(223,106,107)	1.8605	2,2
Zfp536	Lpin3	0.72911	0.421	rgb(222,137,137)	1.8604	2,2
Batf	A830010M20Rik	0.72695	0.33945	rgb(221,152,153)	1.8593	2,2
Fos	Vim	0.72634	0.684	rgb(225, 86, 88)	1.859	2,2
Trp53	9030617O03Rik	0.72631	0.80428	rgb(226, 63, 65)	1.859	2,2
Smad3	Tmeff1	0.72615	0.48828	rgb(222,124,125)	1.8589	2,2
Stat2	Pyhin1	0.72554	0.49337	rgb(222,123,124)	1.8586	2,2
