TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Stat4	Pla2g12a	0.71056	0.72414	rgb(225, 79, 80)	1.8524	2,2
Irf5	Samsn1	0.71007	0.7069	rgb(225, 82, 83)	1.8522	2,2
Eomes	Ifih1	0.70818	0.55172	rgb(223,112,113)	1.8512	2,2
Zbtb7b	Zfp36l2	0.7075	0.58621	rgb(223,105,106)	1.8509	2,2
Foxf2	Phlpp1	0.7075	0.82759	rgb(226, 59, 61)	1.8509	2,2
Zfhx2	Sgk1	0.70716	0.60345	rgb(224,102,103)	1.8507	2,2
Zfp385a	Zmat3	0.70583	0.62069	rgb(224, 98,100)	1.85	2,2
Egr1	Dyx1c1	0.70574	0.48276	rgb(222,125,126)	1.85	2,2
Fosl1	Cyp11a1	0.7042	0.7069	rgb(225, 82, 83)	1.8492	2,2
Hhex	Gata3	0.70357	0.46552	rgb(222,128,129)	1.8489	2,2
Tcf12	Capn2	0.70159	0.62069	rgb(224, 98,100)	1.8479	None
Stat1	Alpk2	0.70151	0.68966	rgb(225, 85, 87)	1.8478	2,2
E2f1	Sra1	-0.70094	-0.60345	rgb( 86,137,240)	1.1328	2,2
Foxq1	Perp	0.70091	0.7069	rgb(225, 82, 83)	1.8475	2,2
E2f1	Larp4b	0.70067	0.53448	rgb(223,115,116)	1.8474	2,2
Cebpb	Marcks	0.7002	0.63793	rgb(224, 95, 96)	1.8471	2,2
Etv5	Notch1	0.6982	0.53448	rgb(223,115,116)	1.8461	2,2
Foxo3	Vwa5a	0.69731	0.55172	rgb(223,112,113)	1.8457	2,2
Scml4	Lrrc59	-0.69707	-0.58621	rgb( 90,140,239)	1.1347	2,2
Zfp827	Rreb1	0.69565	0.56897	rgb(223,108,109)	1.8448	2,2
Batf3	Glcci1	-0.69539	-0.81034	rgb( 41,110,248)	1.1356	2,2
E2f4	Gpsm2	0.69387	0.60345	rgb(224,102,103)	1.8439	2,2
Klf5	Stx1a	0.69277	0.67241	rgb(224, 89, 90)	1.8434	None
Egr1	Serpine2	0.69243	0.65517	rgb(224, 92, 93)	1.8432	2,2
Irf9	Sqstm1	0.69201	0.77586	rgb(226, 69, 70)	1.843	2,2
