TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Zhx3	Srgap3	-0.37333	43.16	-1.6E-01	rgb(181,195,223)	1.8495	2,2
Pou2f2	Srpk2	0.37056	43.14	0.139	rgb(219,190,191)	1.8491	None
Trp73	St3gal5	-0.36778	43.13	-1.3E-01	rgb(189,200,222)	1.8489	None
Fli1	Sra1	0.365	43.1	0.095	rgb(218,199,199)	1.8483	None
Trp73	Sspo	0.36222	42.4	0.401	rgb(221,140,141)	1.8342	None
Gm14326	Srpk2	-0.35905	42.36	-3.6E-01	rgb(139,169,231)	1.8334	2,2
Pknox1	Srpk1	0.35587	42.34	0.336	rgb(221,153,153)	1.833	None
Npas4	Sptlc1	-0.3527	42.33	-3.3E-01	rgb(144,173,230)	1.8328	2,2
Scmh1	St8sia6	0.34952	42.24	0.242	rgb(220,171,171)	1.8309	2,2
Zfp184	Srsf12	0.34635	42.19	0.19	rgb(219,181,181)	1.8299	2,2
Bcl6b	Src	0.34317	42.17	0.168	rgb(219,185,185)	1.8295	None
Klf12	Ssbp4	0.34317	42.17	0.165	rgb(219,185,186)	1.8295	None
Zbtb6	St14	-0.34317	42.17	-1.7E-01	rgb(180,195,223)	1.8295	2,2
Foxb1	Srpk2	0.34	42.15	0.15	rgb(219,188,189)	1.8291	2,2
Zic2	St14	0.34	42.15	0.149	rgb(219,189,189)	1.8291	2,2
Rora	Stab1	0.33683	42.14	0.143	rgb(219,190,190)	1.8289	None
Snapc2	Sqstm1	0.33683	42.14	0.143	rgb(219,190,190)	1.8289	2,2
Ebf1	St18	0.33365	42.12	0.124	rgb(218,193,193)	1.8285	2,2
Maf	Ssh2	0.33365	42.12	0.122	rgb(218,194,194)	1.8285	None
Myc	Sqle	0.33365	42.12	0.116	rgb(218,195,195)	1.8285	2,2
Gli1	Sptlc1	0.33048	42.11	0.108	rgb(218,196,197)	1.8283	None
Stat4	St3gal1	-0.3273	42.09	-9.2E-02	rgb(197,205,220)	1.8279	None
Six5	Srgap3	-0.32413	42.07	-7.4E-02	rgb(201,207,220)	1.8275	None
Mafg	St8sia6	0.32095	42.06	0.058	rgb(218,206,206)	1.8273	None
Hif1a	Sra1	0.31778	41.36	0.363	rgb(221,148,148)	1.8132	2,2
