TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Stat3	St3gal5	-0.32861	42.21	-2.1E-01	rgb(171,189,225)	1.8295	2,2
Tbx21	Stap1	-0.32861	42.21	-2.1E-01	rgb(172,190,225)	1.8295	2,2
Zfp345	St18	0.32861	42.21	0.208	rgb(219,177,178)	1.8295	2,2
Zfp365	St7l	0.32861	42.21	0.21	rgb(219,177,177)	1.8295	2,2
Ikzf5	Srgn	0.32486	42.19	0.195	rgb(219,180,180)	1.8291	2,2
Rag1	Srxn1	-0.32486	42.19	-1.9E-01	rgb(176,192,224)	1.8291	2,2
Junb	Stac2	0.32111	42.17	0.174	rgb(219,184,184)	1.8287	None
Zfp879	Srsf12	0.32111	42.17	0.172	rgb(219,184,184)	1.8287	2,2
Bcl6	Srgap3	0.31736	42.14	0.137	rgb(219,191,191)	1.8281	None
Rara	Spsb1	0.31736	42.14	0.142	rgb(219,190,190)	1.8281	2,2
Zbtb7a	Stambp	-0.31361	42.13	-1.3E-01	rgb(190,200,222)	1.8279	None
Zfp219	Src	-0.31361	42.13	-1.3E-01	rgb(190,200,222)	1.8279	None
Foxp1	Sqstm1	0.30986	42.1	0.291	rgb(220,161,162)	1.8273	None
Foxp2	Sqstm1	0.30986	42.1	0.291	rgb(220,161,162)	1.8273	None
Foxp4	Sqstm1	0.30986	42.1	0.291	rgb(220,161,162)	1.8273	None
Bhlhe41	Ss18	-0.30611	42.09	-8.7E-02	rgb(198,205,220)	1.8271	2,2
Usf2	Stap1	-0.30611	42.09	-8.8E-02	rgb(198,205,220)	1.8271	None
Zbtb7a	St3gal1	-0.30236	42.07	-7.0E-02	rgb(202,208,220)	1.8267	None
Gli1	Sptlc1	0.29861	42.06	0.056	rgb(218,206,206)	1.8265	None
Nfe2l2	Sqstm1	0.29861	42.06	0.058	rgb(218,206,206)	1.8265	None
Zfp280b	Srgap3	0.29486	42.01	0.009	rgb(217,215,215)	1.8255	2,2
Zzz3	Sra1	-0.29111	41.56	-5.6E-01	rgb( 95,143,238)	1.8164	2,2
Hsf1	Stac2	-0.2883	41.38	-3.8E-01	rgb(134,166,232)	1.8128	None
Nfkb2	Srxn1	0.2855	41.37	0.371	rgb(221,146,147)	1.8126	2,2
Atf2	St7	-0.28269	41.33	-3.3E-01	rgb(146,174,230)	1.8118	None
Nr2f6	St6galnac1	0.28269	41.33	0.327	rgb(221,155,155)	1.8118	2,2
Tfdp2	St3gal5	0.28269	41.33	0.238	rgb(220,172,172)	1.8118	2,2
