	GSM1074947_APPLY_p_Hulin_58_430A_Mouse430A_2_A01_528242.EXPRESSION	GSM1074948_APPLY_p_Hulin_58_430A_Mouse430A_2_A02_528130.EXPRESSION	GSM1074949_APPLY_p_Hulin_58_430A_Mouse430A_2_A03_528272.EXPRESSION	GSM1074950_APPLY_p_Hulin_58_430A_Mouse430A_2_A04_528190.EXPRESSION	GSM1074951_APPLY_p_Hulin_58_430A_Mouse430A_2_A05_528142.EXPRESSION	GSM1074952_APPLY_p_Hulin_58_430A_Mouse430A_2_A06_528174.EXPRESSION	GSM1074953_APPLY_p_Hulin_58_430A_Mouse430A_2_A07_528222.EXPRESSION	GSM1074954_APPLY_p_Hulin_58_430A_Mouse430A_2_A08_528264.EXPRESSION	GSM1074955_APPLY_p_Hulin_58_430A_Mouse430A_2_A09_528228.EXPRESSION	GSM1074956_APPLY_p_Hulin_58_430A_Mouse430A_2_A10_528122.EXPRESSION	GSM1074957_APPLY_p_Hulin_58_430A_Mouse430A_2_A11_528118.EXPRESSION	GSM1074958_APPLY_p_Hulin_58_430A_Mouse430A_2_A12_528294.EXPRESSION	GSM1074959_APPLY_p_Hulin_58_430A_Mouse430A_2_B01_528198.EXPRESSION	GSM1074960_APPLY_p_Hulin_58_430A_Mouse430A_2_B02_528162.EXPRESSION	GSM1074961_APPLY_p_Hulin_58_430A_Mouse430A_2_B03_528172.EXPRESSION	GSM1074962_APPLY_p_Hulin_58_430A_Mouse430A_2_B04_528232.EXPRESSION	GSM1074963_APPLY_p_Hulin_58_430A_Mouse430A_2_B05_528290.EXPRESSION	GSM1074964_APPLY_p_Hulin_58_430A_Mouse430A_2_B06_528150.EXPRESSION	GSM1074965_APPLY_p_Hulin_58_430A_Mouse430A_2_B07_528284.EXPRESSION	GSM1074966_APPLY_p_Hulin_58_430A_Mouse430A_2_B08_528244.EXPRESSION	GSM1074967_APPLY_p_Hulin_58_430A_Mouse430A_2_B09_528186.EXPRESSION	GSM1074968_APPLY_p_Hulin_58_430A_Mouse430A_2_B10_528194.EXPRESSION	GSM1074969_APPLY_p_Hulin_58_430A_Mouse430A_2_B11_528262.EXPRESSION	GSM1074970_APPLY_p_Hulin_58_430A_Mouse430A_2_B12_528132.EXPRESSION	GSM1074971_APPLY_p_Hulin_58_430A_Mouse430A_2_C01_528304.EXPRESSION	GSM1074972_APPLY_p_Hulin_58_430A_Mouse430A_2_C02_528216.EXPRESSION	GSM1074973_APPLY_p_Hulin_58_430A_Mouse430A_2_C03_528184.EXPRESSION	GSM1074974_APPLY_p_Hulin_58_430A_Mouse430A_2_C04_528282.EXPRESSION	GSM1074975_APPLY_p_Hulin_58_430A_Mouse430A_2_C05_528136.EXPRESSION	GSM1074976_APPLY_p_Hulin_58_430A_Mouse430A_2_C06_528296.EXPRESSION	GSM1074977_APPLY_p_Hulin_58_430A_Mouse430A_2_C07_528298.EXPRESSION	GSM1074978_APPLY_p_Hulin_58_430A_Mouse430A_2_C08_528280.EXPRESSION	GSM1074979_APPLY_p_Hulin_58_430A_Mouse430A_2_C09_528286.EXPRESSION	GSM1074980_APPLY_p_Hulin_58_430A_Mouse430A_2_C10_528210.EXPRESSION	GSM1074981_APPLY_p_Hulin_58_430A_Mouse430A_2_C11_528134.EXPRESSION	GSM1074982_APPLY_p_Hulin_58_430A_Mouse430A_2_C12_528212.EXPRESSION	GSM1074983_APPLY_p_Hulin_58_430A_Mouse430A_2_D01_528268.EXPRESSION	GSM1074984_APPLY_p_Hulin_58_430A_Mouse430A_2_D02_528182.EXPRESSION	GSM1074985_APPLY_p_Hulin_58_430A_Mouse430A_2_D03_528274.EXPRESSION	GSM1074986_APPLY_p_Hulin_58_430A_Mouse430A_2_D04_528204.EXPRESSION	GSM1074987_APPLY_p_Hulin_58_430A_Mouse430A_2_D05_528252.EXPRESSION	GSM1074988_APPLY_p_Hulin_58_430A_Mouse430A_2_D06_528278.EXPRESSION	GSM1074989_APPLY_p_Hulin_58_430A_Mouse430A_2_D07_528152.EXPRESSION	GSM1074990_APPLY_p_Hulin_58_430A_Mouse430A_2_D08_528188.EXPRESSION	GSM1074991_APPLY_p_Hulin_58_430A_Mouse430A_2_D09_528292.EXPRESSION	GSM1074992_APPLY_p_Hulin_58_430A_Mouse430A_2_D10_528250.EXPRESSION	GSM1074993_APPLY_p_Hulin_58_430A_Mouse430A_2_D11_528164.EXPRESSION	GSM1074994_APPLY_p_Hulin_58_430A_Mouse430A_2_D12_528160.EXPRESSION	GSM1074995_APPLY_p_Hulin_58_430A_Mouse430A_2_E01_528176.EXPRESSION	GSM1074996_APPLY_p_Hulin_58_430A_Mouse430A_2_E02_528206.EXPRESSION	GSM1074997_APPLY_p_Hulin_58_430A_Mouse430A_2_E03_528124.EXPRESSION	GSM1074998_APPLY_p_Hulin_58_430A_Mouse430A_2_E04_528254.EXPRESSION	GSM1074999_APPLY_p_Hulin_58_430A_Mouse430A_2_E05_528128.EXPRESSION	GSM1075000_APPLY_p_Hulin_58_430A_Mouse430A_2_E06_528276.EXPRESSION	GSM1075001_APPLY_p_Hulin_58_430A_Mouse430A_2_E07_528166.EXPRESSION	GSM1075002_APPLY_p_Hulin_58_430A_Mouse430A_2_E08_528126.EXPRESSION	GSM1075003_APPLY_p_Hulin_58_430A_Mouse430A_2_E09_528236.EXPRESSION	GSM1075004_APPLY_p_Hulin_58_430A_Mouse430A_2_E10_528246.EXPRESSION
Sla2	7.867741444	7.89698155	7.520132546	6.302041855	6.011795125	5.897790223	6.015689973	6.171303316	6.348338465	6.679618646	6.446427854	6.434034749	6.549538177	6.475663846	6.162294338	6.581569964	6.313467747	6.184666991	7.797307893	7.145698285	6.514526874	6.052129142	5.501111324	5.575630801	5.795527112	5.988025219	5.536741088	6.207399548	5.552904057	6.06386212	6.020071942	5.985141206	6.239644972	6.175889515	6.104647375	6.074628713	5.785524156	5.993372133	6.048273611	6.31506382	7.565428546	6.076029919	5.966333463	6.598482365	6.591801326	6.219849991	6.17995481	6.236194968	7.116095892	6.210787306	5.426776991	5.683193691	6.260506457	5.495617414	5.969798221	6.237385748	6.196140701	6.107916905
Slamf6	8.661862863	9.132352566	8.711543478	8.604914232	8.22860047	8.405865922	7.410083029	7.508627218	7.609729836	8.078514567	8.214435655	8.8818002	9.28681849	9.291464402	9.19566112	9.32460948	9.216186034	8.723038213	8.890748904	9.636926843	8.933188838	8.404245391	8.222413401	8.26521281	7.153756178	7.266585625	6.052614099	5.469645187	5.211739097	5.251232255	5.131410475	4.848698448	5.363435401	4.883590842	4.863415158	5.020763848	4.922134997	4.579898949	5.128300757	4.63750589	8.835231586	8.336584096	7.833302675	8.011797759	8.680990212	8.901375378	9.240408577	9.224539514	9.099318027	8.200586235	7.17660002	5.595910917	5.652950448	5.671963379	5.060541259	5.364512807	4.948761228	5.43046163
Slamf7	4.321928095	5.445463346	7.613955728	8.254370424	8.051791304	7.732532153	7.712648268	6.937900285	6.326264417	5.252891875	6.023719371	5.544071177	5.760459428	5.216280951	5.370042063	5.17639027	5.265782204	5.270916159	4.590089993	5.10229539	8.197455202	8.378401283	7.527196364	6.985589842	6.332450891	6.22641777	5.79419481	4.321928095	4.719269089	4.321928095	4.321928095	5.064291787	4.870325352	4.837460591	4.321928095	5.553983427	4.638271939	4.836443702	4.321928095	5.330868438	4.8688795	8.006821368	7.264150671	6.171213388	5.399549542	5.367971223	5.474851738	5.29653813	5.038531788	8.279825352	6.500800194	5.122941325	4.321928095	4.321928095	4.409988771	4.321928095	4.321928095	4.321928095
Slc14a1	8.191562142	7.160552791	5.630118388	8.284694805	7.195506236	6.395247508	4.727486366	4.700525139	4.740593838	4.545249227	4.899076299	5.790125951	4.420350383	4.321928095	4.365289069	4.321928095	4.321928095	4.321928095	8.275245927	7.692088627	6.424907174	7.628843794	5.943521876	5.08066867	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	7.162014499	7.704429968	5.381575362	4.850469498	5.638195716	4.950356518	4.547836393	4.321928095	7.669596046	7.344920249	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095	4.321928095
Slc16a6	7.855875266	8.273895155	8.05809266	8.574267114	9.1755565	8.955070655	8.522604624	8.587848101	8.505849174	7.93335048	8.468580153	8.7969372	8.865088939	8.970279844	8.922918007	8.829975106	9.096639572	9.353537375	8.370291972	8.229915258	7.423895344	8.578204702	9.261994383	9.262462349	8.98327796	9.180168591	9.246441037	9.264000665	9.527474262	9.765787954	9.715302329	9.439915827	9.705240973	9.406284946	9.922401644	9.620055878	9.567055091	9.379042121	9.659291176	9.408802274	8.071686998	9.138703837	8.724324576	8.451027878	8.613355767	8.851859339	8.974788027	8.979054754	8.452397737	8.604516074	9.018651947	9.446819748	9.623218793	9.669424666	9.594637159	9.617904122	9.512515868	9.398190827
Slc19a2	7.378790936	7.349985578	6.842309355	9.242038228	10.10520152	10.37057442	11.13647271	9.087515752	8.431482876	8.565419601	8.987724412	9.347345592	8.996466517	9.276291889	8.764693266	9.339687726	9.796925656	9.534987673	7.537768502	7.561071775	6.745034506	9.122850459	10.20315001	10.42109284	11.0296662	9.216185046	8.603223841	9.03321738	9.29080273	9.50137988	8.594872008	8.083594325	8.512136447	8.024202138	9.290675291	8.371058463	8.487717312	8.296380459	9.534749678	8.61177238	7.197794444	9.09857085	10.56286719	8.518028993	9.168647485	9.014963404	9.453367375	9.464592284	7.482337245	9.079497555	10.56474308	8.816541006	9.586509753	8.86073219	8.811427197	9.144562753	8.863016502	9.328983467
Slc1a4	4.321928095	4.847094584	4.809562408	4.394769977	5.262844024	5.136537104	5.59078749	5.616137131	5.69520431	5.713101982	5.434555192	5.65374287	5.779892632	6.088637691	6.746160592	5.878997364	5.33182074	5.574840001	4.4941917	4.502371777	4.938884591	4.639940988	6.090098844	6.396371474	6.497079657	6.902734408	6.819805909	6.222409483	6.105253539	5.607317494	6.045463309	6.647232454	6.23211363	6.778879905	5.850532472	6.077695022	5.983186325	6.527861123	5.76694196	6.228160729	4.840448954	4.746150593	5.71012179	6.202864844	5.15003507	5.704040018	5.881828693	5.562144818	4.357287727	4.466348221	6.97883568	6.324131924	5.682437945	5.540094887	6.281916632	6.045387213	6.266520017	5.85016302
Slc23a2	7.165247917	7.728559377	7.200900512	7.805743239	7.179352873	7.289051944	7.820594202	7.704013156	6.56390818	6.735516617	7.109083998	7.625005722	7.605925649	7.570096598	7.738562251	7.715743152	7.403962635	7.240714865	6.629091767	7.70607122	6.664924215	7.694093972	7.274318489	6.896591916	7.434490339	7.640879542	6.350523247	6.637395483	6.971764107	7.320613628	7.199726781	7.114723949	7.18357152	7.049300433	7.004554551	6.919360343	7.050393457	7.115177371	7.026746377	6.678909976	7.619194341	7.602150386	7.178720279	7.24942088	7.379265302	6.958980962	7.494051196	7.45029577	7.56872483	7.412500614	6.926702467	6.964227601	7.023836462	6.737642737	7.042221115	6.969533126	7.025303217	6.751159908
Slc25a30	9.55573021	9.287928015	8.778945574	7.334253904	7.556430443	7.771195571	7.653105726	8.187419495	7.822745172	8.305096743	8.476419978	8.614003928	8.361051023	8.250541959	8.159547603	8.236337442	8.122283649	7.85736099	9.508244944	9.965868295	9.36876088	7.84322698	8.103105436	8.121436928	7.667380068	8.329070287	8.472158271	8.744492993	8.945405064	8.97074828	8.65653524	8.75605188	8.471415297	8.675697647	8.430761765	8.823150708	8.658790893	8.855013884	8.812655606	9.164017925	9.074121142	7.563906916	7.703461215	8.506301634	8.552165607	8.427506501	8.400336017	8.277080422	9.904074306	7.807114311	7.86916823	8.928589037	8.869775625	8.711479351	8.629423429	8.41068223	8.486360325	8.482211174
Slc29a3	7.871030672	7.531389049	7.253163244	9.43809351	10.53304301	10.36975179	10.51968961	9.903413463	9.034924451	8.094482347	7.953295986	7.967991691	8.32532588	8.369432361	8.648383933	8.221927781	8.727508979	8.523938318	7.617212983	7.482083051	7.011921734	8.967955514	9.96478379	9.766812136	9.901721756	9.111852409	8.047830716	7.391398965	7.451431913	7.340483294	7.511878598	7.496448954	7.526656884	7.546130901	7.232670875	7.445148403	7.511684322	7.232307927	7.091023416	7.081801834	7.51746117	9.572862646	10.37570937	8.47602761	8.180073642	8.272716455	8.332574147	8.378496789	7.494111049	9.112026787	9.57561834	7.798488184	7.41082131	6.93745647	7.339331874	7.250318439	7.303156852	6.969298152
Slc2a1	9.323682111	9.171563	8.756724167	9.111896471	9.123348079	9.508657001	9.193293518	9.11637657	9.300386954	9.229795987	9.310257641	9.573940752	9.616360727	9.92059776	10.04093569	10.32857945	9.833784136	9.909221493	9.360011474	9.060435419	8.569189968	9.255251409	9.324869872	9.512495219	9.795256875	9.823090409	9.892891675	10.02453109	10.02832215	10.07918923	10.36770169	11.29772825	10.90360107	11.30641706	10.49759225	11.61979244	10.941003	11.24654446	10.69744184	11.46882407	9.621986607	8.828148396	9.373458553	9.588270559	9.570291278	9.867863285	10.02601264	10.09542331	9.59708349	9.523633448	9.915236025	10.02473139	10.08966575	10.44408082	10.77964032	10.63490364	10.8445285	10.82142435
Slc2a3	10.45407058	10.00977383	9.129652237	9.406906046	9.104617451	9.343592583	8.981689588	8.861158879	8.87600505	8.957612916	9.373419488	9.528977897	9.325970139	9.451593623	9.592428556	9.414408735	9.090343369	8.824590128	10.39434106	9.790666291	8.571418827	8.874454235	8.693748872	8.701058389	8.247358303	8.118115951	8.469415885	8.777170089	9.025650524	9.144062051	8.845945108	9.868594243	9.180012652	9.926859613	8.729165205	11.24102796	9.044955494	9.706776293	8.794388532	11.17596865	10.19387838	9.301367632	8.990056177	9.194023957	9.480160591	9.409728611	9.429850151	9.055489015	10.06791117	8.536731224	8.100687013	8.875461827	8.914004353	8.651604138	9.180355219	8.630461172	9.150334576	8.707462429
Slc35d1	6.963199625	8.231184647	8.263612198	7.254391487	6.343769443	6.824239786	7.174978187	6.756487046	6.970734392	7.210900946	7.322692549	7.514694768	7.477960241	7.431217949	7.214290664	7.328693424	7.822557436	7.522703146	7.398786972	8.109683891	7.962748919	7.283520666	6.636891335	6.9146792	7.309357079	6.750209905	6.841116327	6.890201811	7.20791555	7.193092673	6.974349612	6.679663996	6.920402804	6.896920295	7.117392341	7.254013717	6.816322914	6.729005317	7.059416782	7.537051525	8.153707824	7.206389405	7.050433626	7.324474164	7.561541062	7.383056121	7.686253434	7.624775955	8.116988742	7.151189825	7.124441793	7.209920573	7.211356384	7.037430912	6.99846024	7.140499521	7.10709247	7.179372232
Slc38a1	8.848701263	9.521214991	10.56693845	10.58094347	10.21905878	10.04175163	9.951304427	9.97317576	9.750358118	9.791724256	9.850474931	9.816300115	9.865593299	9.750108486	9.808126883	9.608082871	9.714783088	9.60875209	9.029897845	9.44782343	10.39900164	10.7169987	10.21258009	10.09709138	9.964687384	10.01442721	9.972020072	9.851292132	9.774384466	9.693744303	9.712559907	9.635390051	9.496162706	9.416636167	9.491894524	9.268841167	9.699522099	9.633039917	9.660526762	9.455934526	9.375212657	10.62706865	9.891938662	9.716123253	9.787254037	9.649259268	9.689708748	9.630248239	9.572756752	10.79797847	10.03478518	9.986304252	9.724179418	9.587679915	9.50213795	9.400910212	9.300507065	9.28972426
