TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Klf7	Hmgcl	0.72403	0.59895	rgb(224,103,104)	1.8575	2,2
Ets1	Cisd3	0.72391	0.66105	rgb(224, 91, 92)	1.8574	2,2
E2f1	Dcp2	0.72388	0.66737	rgb(224, 90, 91)	1.8574	2,2
E2f1	Ddx51	0.72376	0.54	rgb(223,114,115)	1.8574	2,2
E2f1	Pfas	0.72348	0.58105	rgb(223,106,107)	1.8572	2,2
Zbtb7b	Ckmt1	-0.72343	-0.52842	rgb(102,147,237)	1.11	2,2
E2f4	Wdr76	0.72303	0.46632	rgb(222,128,129)	1.857	2,2
Zfx	Cdk5	-0.722	-0.52211	rgb(104,148,237)	1.1108	2,2
Zbtb46	Penk	0.72106	0.70632	rgb(225, 82, 84)	1.856	2,2
Runx1	Ebf1	0.71875	0.81158	rgb(226, 62, 64)	1.8548	2,2
Ikzf2	Hist2h2bb	0.71801	0.67263	rgb(224, 89, 90)	1.8544	2,2
Snai3	Cmtm7	-0.7177	-0.74737	rgb( 55,118,245)	1.113	2,2
Rreb1	Mndal	0.71769	0.67263	rgb(224, 89, 90)	1.8542	2,2
Sp3	Fads2	0.71765	0.68	rgb(224, 87, 88)	1.8542	2,2
Sox4	Smarca2	0.71733	0.61684	rgb(224, 99,100)	1.854	2,2
Hif1a	Rab39	0.71695	0.64	rgb(224, 95, 96)	1.8538	2,2
Klf5	Als2cl	0.71638	0.70526	rgb(225, 82, 84)	1.8535	2,2
Batf3	Hist1h1a	0.71599	0.62105	rgb(224, 98,100)	1.8533	2,2
Snai3	Pmepa1	0.71578	0.70842	rgb(225, 82, 83)	1.8532	2,2
Klf5	Cnnm4	0.7156	0.63684	rgb(224, 95, 97)	1.8531	2,2
Hes1	Fkrp	0.71497	0.73263	rgb(225, 77, 79)	1.8528	2,2
Zfp263	Ncdn	-0.71465	-0.68526	rgb( 68,127,243)	1.1146	2,2
Zbtb7b	Decr1	-0.71465	-0.47053	rgb(115,155,235)	1.1146	2,2
Zfp365	Psrc1	0.71325	0.61895	rgb(224, 99,100)	1.8519	2,2
Bcl6	Cdh17	0.71307	0.56947	rgb(223,108,109)	1.8518	2,2
Trp53	Tcf7l1	-0.70927	-0.53684	rgb(101,146,237)	1.1174	2,2
Klf7	Yif1b	0.70922	0.73474	rgb(225, 77, 78)	1.8498	2,2
Hif1a	Mboat2	0.70887	0.50737	rgb(223,120,121)	1.8497	2,2
Zbtb46	Tmem120b	0.70866	0.66421	rgb(224, 90, 91)	1.8496	2,2
Klf8	Lgals1	0.70854	0.68737	rgb(225, 86, 87)	1.8495	2,2
