TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Mxd4	Lgals3	0.69223	0.64979	rgb(224, 93, 94)	1.8446	2,2
Bcl6b	Psmd8	0.69188	0.74037	rgb(225, 76, 77)	1.8444	None
Bhlhe40	Itpr3	0.69062	0.60342	rgb(224,102,103)	1.8438	2,2
Nr1d2	Stab1	0.68965	0.63195	rgb(224, 96, 98)	1.8433	2,2
Vdr	Tab2	0.68946	0.71327	rgb(225, 81, 82)	1.8432	2,2
Foxo3	Vwa5a	0.68944	0.5699	rgb(223,108,109)	1.8432	2,2
Yy2	Acin1	0.68921	0.66049	rgb(224, 91, 92)	1.8431	2,2
Zfp367	Exo1	0.68782	0.6669	rgb(224, 90, 91)	1.8424	2,2
Rfx3	Ptprc	-0.68754	-0.78602	rgb( 46,113,247)	1.1479	2,2
Fosl1	Pstpip1	0.68667	0.69116	rgb(225, 85, 86)	1.8418	2,2
Nhlh1	Gpr146	0.68445	0.72539	rgb(225, 78, 80)	1.8407	None
E2f4	Gpsm2	0.68309	0.71826	rgb(225, 80, 81)	1.84	2,2
Rela	Mllt6	-0.68184	-0.602	rgb( 86,138,240)	1.1507	2,2
Zfp362	Dhcr7	0.68176	0.83096	rgb(226, 58, 60)	1.8393	2,2
Scmh1	Rbms2	0.68141	0.77389	rgb(226, 69, 71)	1.8391	2,2
Fos	Trpv2	0.6813	0.77318	rgb(226, 69, 71)	1.8391	2,2
Pou2af1	Arl4c	0.68127	0.72611	rgb(225, 78, 80)	1.8391	2,2
E2f1	Exo1	0.68113	0.65906	rgb(224, 91, 92)	1.839	2,2
Egr1	Zfp239	0.68014	0.78959	rgb(226, 66, 68)	1.8385	2,2
Epas1	Slc2a1	0.6791	0.64051	rgb(224, 95, 96)	1.838	2,2
Sp3	Arid3a	0.67879	0.71969	rgb(225, 80, 81)	1.8378	2,2
Stat3	Flot1	0.67838	0.69615	rgb(225, 84, 85)	1.8376	2,2
Plscr1	Asns	0.67827	0.69544	rgb(225, 84, 86)	1.8375	2,2
Satb1	Hif1a	0.6782	0.60485	rgb(224,101,103)	1.8375	None
Gabpa	Mtss1	-0.67789	-0.67332	rgb( 71,128,243)	1.1527	2,2
Stat3	Cxcr5	0.67717	0.71897	rgb(225, 80, 81)	1.837	2,2
Etv6	Fbxo18	-0.67674	-0.67404	rgb( 71,128,243)	1.1533	2,2
Klf5	Hmgn1	-0.67556	-0.59558	rgb( 88,138,240)	1.1539	2,2
Irf5	Asf1a	0.67494	0.79529	rgb(226, 65, 67)	1.8359	2,2
E2f1	Rps14	-0.67475	-0.79458	rgb( 45,112,247)	1.1543	2,2
Stat3	Egln3	0.67454	0.77318	rgb(226, 69, 71)	1.8357	2,2
Irf4	Tnk2	-0.6745	-0.49215	rgb(110,152,236)	1.1545	2,2
Smad3	Acsbg1	0.67449	0.70399	rgb(225, 83, 84)	1.8356	2,2
Irf4	Fam3c	0.67413	0.71683	rgb(225, 80, 82)	1.8355	2,2
E2f1	Ypel5	-0.6721	-0.70043	rgb( 65,125,244)	1.1557	2,2
Klf4	Anxa2	0.67208	0.69757	rgb(225, 84, 85)	1.8344	None
Zbtb7b	Decr1	-0.67177	-0.67261	rgb( 71,128,243)	1.1558	2,2
Thap1	Clybl	-0.67107	-0.61626	rgb( 83,136,240)	1.1562	2,2
Zfp263	Tnfrsf18	0.6706	0.70542	rgb(225, 82, 84)	1.8337	2,2
Zfx	Casp6	-0.67022	-0.64765	rgb( 76,132,242)	1.1566	2,2
Trp53	Exoc4	0.66981	0.66191	rgb(224, 91, 92)	1.8333	2,2
Zfp629	Ttbk2	0.66823	0.69686	rgb(225, 84, 85)	1.8325	2,2
Ankzf1	Rgs11	0.66814	0.74322	rgb(225, 75, 77)	1.8324	2,2
Irf8	Ifnar1	0.66774	0.70613	rgb(225, 82, 84)	1.8322	2,2
Nfatc1	Tbc1d14	-0.66772	-0.69757	rgb( 66,125,244)	1.1579	2,2
Zbtb7b	Gabbr1	0.66759	0.80884	rgb(226, 63, 64)	1.8321	2,2
Sox4	Smarca2	0.66731	0.67903	rgb(224, 87, 89)	1.832	2,2
Zbtb7b	Hist3h2a	-0.66713	-0.55849	rgb( 96,143,238)	1.1582	2,2
Smad3	Adam19	0.66459	0.6933	rgb(225, 85, 86)	1.8306	2,2
Trp53	Bbc3	0.66377	0.74037	rgb(225, 76, 77)	1.8302	2,2
Stat3	Ifih1	-0.66373	-0.5535	rgb( 97,144,238)	1.1599	2,2
Stat3	Klf3	-0.66284	-0.70114	rgb( 65,124,244)	1.1603	2,2
Tal2	Tnfrsf13c	0.66222	0.67261	rgb(224, 89, 90)	1.8294	2,2
Klf4	Mapk3	0.66152	0.55278	rgb(223,111,113)	1.8291	2,2
Batf	Plod2	0.66148	0.67332	rgb(224, 88, 90)	1.8291	2,2
Batf	Ahnak	0.66108	0.7097	rgb(225, 81, 83)	1.8289	2,2
Creb1	Erc1	-0.66106	-0.70043	rgb( 65,125,244)	1.1612	2,2
Klf8	Hist1h1c	0.66004	0.55207	rgb(223,112,113)	1.8283	2,2
Smad3	Pmepa1	0.65958	0.78245	rgb(226, 68, 69)	1.8281	2,2
Klf12	Pmm1	0.65933	0.74536	rgb(225, 75, 76)	1.828	2,2
Trp53	Phlda3	0.65846	0.63338	rgb(224, 96, 97)	1.8275	2,2
Elf1	Lrrc59	-0.65803	-0.58987	rgb( 89,139,239)	1.1628	2,2
Creb1	Hmgn1	0.65797	0.58702	rgb(223,105,106)	1.8273	2,2
Stat1	Lgals3bp	0.65744	0.77318	rgb(226, 69, 71)	1.827	2,2
Tal2	Tmem38b	0.65535	0.64551	rgb(224, 94, 95)	1.826	2,2
Sp2	Ier3	0.6533	0.80171	rgb(226, 64, 65)	1.8249	2,2
Tcf7l1	Rfwd3	0.65315	0.56063	rgb(223,110,111)	1.8249	2,2
Hhex	Rxra	0.65295	0.86733	rgb(227, 51, 53)	1.8248	2,2
Zfp263	Hspb11	0.65203	0.58702	rgb(223,105,106)	1.8243	2,2
Zeb2	Ptger2	0.65156	0.7632	rgb(225, 71, 73)	1.8241	2,2
Foxa1	Gart	-0.65051	-0.56919	rgb( 93,142,239)	1.1666	2,2
Zbtb33	Smg5	0.64905	0.66334	rgb(224, 90, 92)	1.8228	2,2
Nfe2	Sema4d	0.64858	0.65407	rgb(224, 92, 93)	1.8225	2,2
Zfx	Pla2g12a	-0.64548	-0.80456	rgb( 42,111,248)	1.1691	2,2
Hey1	Traf3	0.64537	0.6776	rgb(224, 88, 89)	1.8209	2,2
Zbtb32	Acsl6	0.64488	0.7582	rgb(225, 72, 74)	1.8207	2,2
Hes1	Tsc1	0.64339	0.72611	rgb(225, 78, 80)	1.8199	2,2
Foxn2	Dpp4	0.64335	0.56705	rgb(223,109,110)	1.8199	2,2
Rfx3	Sugt1	0.64306	0.74536	rgb(225, 75, 76)	1.8198	2,2
