TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Zscan10	Jak2	-0.82653	-0.7897	rgb( 46,113,247)	1.0818	2,2
Zic2	Nfkb1	0.82607	0.62876	rgb(224, 97, 98)	1.9126	2,2
Stat2	Ptprc	0.82543	0.64163	rgb(224, 94, 96)	1.9122	None
Elk4	Zfp568	0.82534	0.42275	rgb(222,136,137)	1.9122	2,2
Stat3	Il21	0.82482	0.5279	rgb(223,116,117)	1.9119	2,2
Ppara	Ahr	0.82476	0.66524	rgb(224, 90, 91)	1.9119	2,2
Thap1	Gripap1	-0.82466	-0.41416	rgb(127,162,233)	1.0827	2,2
Foxn3	Itm2a	-0.82417	-0.6309	rgb( 80,134,241)	1.0829	2,2
Pou2af1	Sell	0.82386	0.68884	rgb(225, 85, 87)	1.9114	2,2
Bach1	Nr4a1	0.82162	0.72747	rgb(225, 78, 80)	1.9103	2,2
Nfe2l2	Sema4a	0.82108	0.64592	rgb(224, 94, 95)	1.9101	2,2
Egr2	Sesn1	0.81937	0.64163	rgb(224, 94, 96)	1.9092	2,2
Tef	Cd1d1	-0.81929	-0.46996	rgb(115,155,235)	1.0854	2,2
Sp4	Plscr3	-0.81914	-0.3927	rgb(132,165,232)	1.0855	2,2
Npas2	Ubiad1	0.81828	0.6867	rgb(225, 86, 87)	1.9086	2,2
Klf7	Sap30	0.81644	0.86695	rgb(227, 51, 53)	1.9077	2,2
Tcf3	Ppp3ca	0.81511	0.78112	rgb(226, 68, 69)	1.907	2,2
Bhlhe40	Stat5b	0.81471	0.59227	rgb(224,104,105)	1.9068	2,2
Rreb1	Pacsin1	0.81304	0.58584	rgb(223,105,106)	1.906	2,2
Egr1	Mmachc	0.81255	0.3691	rgb(221,147,147)	1.9058	2,2
Pou2af1	Ets2	0.81234	0.57511	rgb(223,107,108)	1.9057	2,2
Bcl6	Slc39a8	0.81218	0.64807	rgb(224, 93, 95)	1.9056	2,2
Rreb1	Bcl2l2	-0.8119	-0.6824	rgb( 69,127,243)	1.0891	None
Nfe2l2	Mmachc	-0.81137	-0.36481	rgb(138,169,231)	1.0894	2,2
Zfp711	Mecr	0.81095	0.79399	rgb(226, 65, 67)	1.905	2,2
Nhlh1	Lad1	-0.81081	-0.50858	rgb(107,150,236)	1.0897	2,2
Egr1	Gusb	0.8108	0.68455	rgb(225, 86, 88)	1.9049	2,2
Mga	Smox	0.81047	0.71674	rgb(225, 80, 82)	1.9047	2,2
Zfp219	Marcksl1	0.80984	0.59227	rgb(224,104,105)	1.9044	2,2
Rest	Tax1bp3	0.8084	0.45494	rgb(222,130,131)	1.9037	None
Tbx21	Rnh1	0.80625	0.59227	rgb(224,104,105)	1.9026	None
Foxp1	Serpinf1	-0.80601	-0.71245	rgb( 62,123,244)	1.0921	2,2
Sp2	Anxa4	0.80522	0.49571	rgb(222,122,123)	1.9021	2,2
Smad3	Tgm2	0.80451	0.84764	rgb(226, 55, 57)	1.9017	2,2
Stat2	Nedd4	-0.80365	-0.65236	rgb( 75,131,242)	1.0933	2,2
Nfe2l2	Crem	0.80283	0.74678	rgb(225, 74, 76)	1.9009	2,2
Atf3	Gatm	0.80229	0.22318	rgb(219,174,175)	1.9006	2,2
Rfx1	Emp1	0.80164	0.64163	rgb(224, 94, 96)	1.9003	2,2
E2f1	Pcbp4	0.8015	0.36266	rgb(221,148,148)	1.9002	2,2
Elk3	Adrb2	0.80139	0.7382	rgb(225, 76, 77)	1.9002	2,2
Zfp148	Pim1	0.80077	0.81974	rgb(226, 60, 62)	1.8998	2,2
Smad3	Rhoq	0.80006	0.6588	rgb(224, 91, 92)	1.8995	2,2
Stat1	Gpsm2	0.79998	0.74034	rgb(225, 76, 77)	1.8994	2,2
Pparg	Mapk14	-0.79911	-0.65665	rgb( 75,130,242)	1.0955	2,2
Fos	Slc38a1	0.79846	0.68455	rgb(225, 86, 88)	1.8987	2,2
Six1	Acsl5	0.79822	0.60944	rgb(224,101,102)	1.8986	2,2
Tead3	Ifit2	0.7982	0.66953	rgb(224, 89, 90)	1.8986	2,2
Nr1d2	Adam19	0.79793	0.74678	rgb(225, 74, 76)	1.8984	2,2
Npas2	Il2ra	0.79642	0.7618	rgb(225, 71, 73)	1.8977	2,2
Stat4	Lpp	0.79525	0.7618	rgb(225, 71, 73)	1.8971	2,2
Batf	Nupr1	0.79494	0.63305	rgb(224, 96, 97)	1.8969	2,2
Stat1	Ahnak	0.79471	0.57511	rgb(223,107,108)	1.8968	None
Batf	Gap43	0.79471	0.88841	rgb(227, 47, 49)	1.8968	2,2
Sp2	Grn	0.79446	0.61588	rgb(224, 99,101)	1.8967	2,2
Klf2	Fndc3a	0.79405	0.51931	rgb(223,118,119)	1.8965	2,2
Klf12	Impa2	0.79357	0.93777	rgb(227, 38, 40)	1.8962	2,2
Sp2	Piga	0.79355	0.68026	rgb(224, 87, 88)	1.8962	2,2
Sp2	Fads2	0.79351	0.66094	rgb(224, 91, 92)	1.8962	2,2
Egr1	Actn1	-0.79335	-0.59657	rgb( 88,138,240)	1.0984	2,2
Sp3	Npc2	0.79285	0.42918	rgb(222,135,136)	1.8959	None
Zfp148	Rabggta	0.79104	0.69742	rgb(225, 84, 85)	1.895	2,2
Atf3	Trp53i13	0.79065	0.70172	rgb(225, 83, 84)	1.8948	2,2
Stat2	Plod3	-0.79037	-0.71245	rgb( 62,123,244)	1.0999	2,2
Atf3	Utf1	-0.79032	-0.54077	rgb(100,146,238)	1.1	2,2
Plagl2	Sytl3	0.78911	0.72961	rgb(225, 78, 79)	1.894	2,2
Irf2	Prkca	0.78898	0.77468	rgb(226, 69, 71)	1.8939	2,2
Csda_Ybx2	Narf	0.78889	0.80043	rgb(226, 64, 66)	1.8939	2,2
Crem	Trim26	0.78844	0.72318	rgb(225, 79, 80)	1.8936	2,2
Stat2	Foxp1	0.78817	0.96352	rgb(228, 33, 35)	1.8935	2,2
Zfx	Klf3	0.78809	0.56438	rgb(223,109,110)	1.8935	2,2
Smad4	Ss18	0.78786	0.64163	rgb(224, 94, 96)	1.8934	2,2
Sp4	Rhbdf1	0.78768	0.61588	rgb(224, 99,101)	1.8933	2,2
Klf12	B3gnt2	-0.78755	-0.64807	rgb( 76,131,242)	1.1013	2,2
Meis2	Tbxa2r	0.78722	0.7382	rgb(225, 76, 77)	1.893	None
Irf9	Stat2	0.78658	0.66738	rgb(224, 90, 91)	1.8927	2,2
Hmx2	Rab4b	0.78608	0.80043	rgb(226, 64, 66)	1.8925	2,2
Sp3	Spata6	0.78586	0.75322	rgb(225, 73, 75)	1.8923	2,2
Nfia	Agpat3	0.7851	0.86052	rgb(226, 53, 54)	1.892	2,2
Irf7	Serpinb9	0.78496	0.65451	rgb(224, 92, 93)	1.8919	2,2
Rela	Ppcdc	0.7845	0.72103	rgb(225, 79, 81)	1.8917	2,2
Sp2	Tmtc4	0.78429	0.76395	rgb(225, 71, 73)	1.8916	2,2
Cux1	Vrk2	0.78425	0.71888	rgb(225, 80, 81)	1.8915	2,2
Cebpb	Dhcr24	-0.78371	-0.63519	rgb( 79,133,241)	1.1033	2,2
Vdr	Id1	0.7835	0.64163	rgb(224, 94, 96)	1.8912	2,2
Egr2	Smarca2	0.78327	0.77253	rgb(225, 69, 71)	1.891	None
Nhlh1	Ulk2	0.78297	0.71674	rgb(225, 80, 82)	1.8909	2,2
Hsf2	Gsn	-0.78214	-0.60515	rgb( 86,137,240)	1.1041	2,2
Thap1	Perp	0.78163	0.63734	rgb(224, 95, 97)	1.8902	2,2
Esr1	Itgb3bp	0.78155	0.78326	rgb(226, 67, 69)	1.8902	2,2
Egr2	Galk1	-0.78127	-0.51931	rgb(104,148,237)	1.1045	2,2
Egr4	Bambi	0.78121	0.57725	rgb(223,107,108)	1.89	2,2
Batf	Bmpr1a	0.78039	0.65236	rgb(224, 92, 94)	1.8896	2,2
Bcl6	Ctnna1	0.77936	0.45279	rgb(222,131,131)	1.8891	2,2
Zic2	Rab8b	0.7784	0.73391	rgb(225, 77, 78)	1.8886	2,2
Zbtb1	Tlcd1	0.77748	0.75751	rgb(225, 72, 74)	1.8881	2,2
Nfat5	Abcg1	-0.77743	-0.86052	rgb( 30,103,250)	1.1064	2,2
Elk3	Tgoln1	0.77731	0.68455	rgb(225, 86, 88)	1.888	2,2
Irf9	Lgals3bp	0.7773	0.47854	rgb(222,126,127)	1.888	2,2
Sox6	Aim1	0.77717	0.7103	rgb(225, 81, 83)	1.888	2,2
Sox4	Litaf	0.77691	0.56223	rgb(223,110,111)	1.8878	2,2
Tcf3	Srpk1	0.7766	0.65451	rgb(224, 92, 93)	1.8877	2,2
