TF	Target	combined_confidence
Elk3	Mmachc	0.9944739453530388
Zmiz2	Sytl3	0.9944436448477778
Zfp280c	Cyp1b1	0.9943981940898865
Eea1	Ptger2	0.9943641060214679
Klf10	Rgs19	0.9943565308951526
Nfe2l2	Sytl3	0.9943565308951526
Stat5b	Pqlc1	0.9943451682056799
Rorc	Eno3	0.9942694169425275
Tulp3	B3gnt2	0.9942239661846362
Nhlh1	Socs3	0.9941633651741143
Crem	Pacsin1	0.9941292771056958
Cebpb	Nrp1	0.9940421631530706
Zkscan1	Pde7a	0.994008075084652
Nr4a3	Capg	0.9939361113846573
Zfp91	Pknox1	0.9939285362583421
Zfpm1	Sirt2	0.9939247486951845
Rest	Tgfbr1	0.9939209611320269
Drap1	Ly9	0.9939171735688692
Klf10	Lrrfip1	0.9938262720530865
Atf5	Serpinb9	0.9937959715478255
Zfp568	Nln	0.9937315829741461
Mga	Tnfrsf25	0.9937240078478309
Zfp688	Rap2b	0.993712645158358
Zfp277	Afp	0.9936937073425699
Skil	Tle1	0.9936861322162547
Ncoa3	Snx9	0.9936293187688905
Ncoa1	Foxo1	0.9935800804478415
Atf5	Rab20	0.9935687177583686
Mga	Chm	0.993564930195211
Foxn2	Sell	0.9935611426320534
Atf3	Siah1a	0.9935422048162653
Zbtb7b	Runx1	0.9935270545636349
Hif1a	Pfkp	0.9935081167478468
Zfpm1	Notch2	0.993466453553113
Runx1	Lpxn	0.9934399406110097
Creb3l2	Igf2bp3	0.9934172152320639
Cic	Ctla2a	0.9933944898531183
Mxd4	Sgip1	0.9933528266583845
Mtf2	Acin1	0.9933301012794389
Klf10	Gpr83	0.9933263137162812
Atf2	Fbxo4	0.9932846505215475
Atf5	Tnk2	0.9932202619478679
Batf	Akap12	0.99320132413208
Fosl1	Gap43	0.99320132413208
Kdm2b	Cdc25b	0.9931672360636613
Atf6	Dctn4	0.9931634485005038
Egr3	S100a13	0.9931520858110309
Satb1	Tom1	0.9931331479952428
Relb	Nfe2l2	0.99312178530577
Irf9	Oasl2	0.9931179977426123
Irf4	Oasl2	0.9931142101794548
Runx2	Pten	0.9931104226162971
Ash1l	Fyco1	0.9930952723636667
Litaf	Ppic	0.9930876972373515
Mafg	Erc1	0.9930801221110362
Skil	Abcd3	0.9930725469847209
Gm6710	Dhcr24	0.9930536091689329
Phf20	R3hdm1	0.9930270962268296
Zfp688	Slc19a2	0.9930233086636719
Zfp35	Marcksl1	0.9930195211005144
Zhx1	Cltb	0.9929967957215686
Foxn2	Id2	0.9929930081584111
Stat2	Gbp4	0.9929854330320959
Cebpb	Zdhhc2	0.992974070342623
Zbed4	Cmas	0.9929589200899925
Sp3	Hmgcl	0.9929513449636773
Foxn2	Inpp1	0.992943769837362
Hbp1	Ptprc	0.992943769837362
Sp100	Cd160	0.9929399822742044
Creb1	Rgs1	0.9929361947110468
Klf10	Ctsw	0.9929210444584163
Atf6	Itgb3bp	0.9929096817689435
Zfp260	Cdkn1b	0.9928831688268401
Klf10	Rara	0.9928718061373674
Tef	Cd5l	0.9928604434478945
Stat3	Pccb	0.9928566558847369
Fosl1	Ube2v1	0.9928528683215793
Rreb1	Ikbke	0.992845293195264
Rreb1	Tspan6	0.9928377180689488
Irf1	Rai14	0.9928339305057912
Klf6	Hvcn1	0.9928149926900031
Eea1	Tbxa2r	0.9928074175636878
Zbtb44	Sh3bp5	0.9927733294952693
Mtf2	Tnrc6a	0.9927657543689541
Atf6	Slc38a1	0.9927430289900084
Zfp386	Spry1	0.9927165160479051
Gata3	Tspan3	0.9927127284847475
Zfpm1	Kctd12	0.9927051533584322
Klf10	Lbh	0.9927013657952747
Mtf2	Arrb2	0.9927013657952747
Sp3	Pten	0.9926900031058018
Rreb1	Tsc22d1	0.9926634901636985
Cc2d1a	Mapk7	0.9926597026005408
Mef2d	Stk4	0.9926521274742256
Nr1d2	Mfge8	0.9926445523479104
Cic	Il21	0.99262940209528
Crem	Zdhhc2	0.9926180394058071
Gata3	Tnfrsf13c	0.9926180394058071
Zfp90	Plscr3	0.9926142518426495
Batf	Wwp1	0.9926104642794918
Nr1h2	Sqstm1	0.9925839513373885
Irf7	Moap1	0.9925725886479158
Nfkb2	Dazap2	0.9925612259584429
Stat3	Atf6	0.9925612259584429
Satb1	Lpp	0.992500624947921
Cebpb	Eno3	0.9924968373847634
Foxn2	Ifih1	0.9924930498216058
Foxn2	Kctd12	0.9924475990637144
Ddit3	Oxct1	0.9924362363742415
Litaf	Lgals7	0.9923869980531925
Zeb2	Slc29a3	0.992383210490035
Rel	Icam1	0.9923339721689859
