TF	Target	combined_confidence
Cic	Capg	0.9894894272679668
Eea1	Tex15	0.9894818928072271
Zfp445	Chst12	0.9894479877338979
Zfp277	Exosc8	0.9894291515820484
Nfat5	Pycr1	0.9894103154301989
Topors	Uqcrq	0.989406548199829
Zfp260	Il7r	0.9893990137390891
Klf9	Mapk11	0.9893877120479795
Rbpj	Plod3	0.9893877120479795
Egr1	Itgb5	0.9893801775872396
Irf4	Pten	0.9893688758961299
Ncoa3	Socs1	0.9893688758961299
Ncoa3	Bmp2k	0.9893425052835406
Batf	Lpp	0.989327436362061
Zfp568	Tubgcp5	0.989327436362061
Cux1	Cmtm7	0.989285996827992
Stat3	Hook2	0.9892633934457726
Aebp2	Sfmbt1	0.9892596262154026
Tcf4	Frmd4b	0.9892596262154026
Cic	Acsbg1	0.9892407900635531
Egr1	Mpdu1	0.9892219539117036
Hmgb1	Cyp1b1	0.9891880488383745
Satb1	Xrcc5	0.9891729799168949
Nfic	Cln6	0.9891428420739357
Phf20	Parp6	0.9891127042309764
Tulp3	Cish	0.9891127042309764
Gabpa	Tprkb	0.9891014025398667
Litaf	Slamf7	0.9890825663880172
Hmga1	Ass1	0.9890674974665375
Maff	Cxcl10	0.9890674974665375
Srebf2	Gabbr1	0.9890524285450579
Satb1	Sertad1	0.9890335923932084
Stat1	Lgals3bp	0.9890298251628385
Ski	Mapk14	0.9889883856287696
Bcl11b	Pdzk1ip1	0.9889770839376598
Cggbp1	Ormdl1	0.9889695494769201
Pou6f1	Pltp	0.9889695494769201
Sp3	Casp6	0.9889657822465502
Stat5b	Map3k8	0.9889469460947007
Egr3	Ndrg2	0.9889394116339608
Rreb1	Slc9a8	0.9889017393302618
Satb1	Inhba	0.9888716014873026
Hif1a	Xpnpep1	0.9888414636443433
Zfp707	Ss18	0.9887962568799045
Arid3a	Sell	0.9887736534976851
Nr4a1	Ncoa1	0.9887322139636161
Irf4	Rsad2	0.9887284467332462
Zbtb17	Rabggta	0.9886380332043685
Plscr1	Clic4	0.9886304987436286
Smad4	Arrb2	0.9885815247488199
Zfp91	Vps54	0.9885626885969704
Bbx	Ehd4	0.9885589213666005
Fosl1	Serpinf1	0.9885250162932714
Hmgb3	H1f0	0.9885212490629014
Aebp2	Irf4	0.9885174818325315
Eea1	Itpr1	0.9885174818325315
Bhlhe40	Plxnc1	0.9885061801414218
Ski	Serpinb6b	0.9885061801414218
Irf2	Nucb2	0.9885024129110519
Gtf2ird1	Tulp3	0.9884685078377228
Tbx21	Bmyc	0.9884383699947635
Hif1a	Rgs11	0.9884270683036538
Mef2d	Id2	0.9884270683036538
Zfp296	Ccr7	0.9883856287695849
Eea1	Cxcr4	0.9883743270784752
Mafg	Cst3	0.9883479564658858
Zbtb44	Cdk6	0.988340422005146
Batf	Arrb1	0.9883140513925567
E2f1	Dnmt3b	0.9883140513925567
Creb1	Prpsap2	0.9883102841621868
Klf6	Vim	0.988302749701447
Stat1	Flt3l	0.9882839135495974
Cux1	Dhcr7	0.9882763790888577
Litaf	Tnfrsf18	0.9882575429370082
Gabpa	Fez2	0.9882537757066382
Nfic	Cdc25b	0.9882311723244188
Srf	Dclre1a	0.9882311723244188
Klf6	Trps1	0.9882123361725693
Zfp426	Thap4	0.9882085689421994
Zfp90	Bambi	0.9882048017118295
Cux1	Stk39	0.9881294571044313
Dzip1	Smarca2	0.9881294571044313
Phf1	Ehd3	0.9881143881829518
Sp100	Ormdl1	0.9881143881829518
Nr4a2	Srpk2	0.988106853722212
Gpbp1	Ptbp2	0.9880767158792527
Irf4	Foxp1	0.9880729486488828
Ncoa1	Tnfsf11	0.9880541124970333
Kdm5b	Ndrg1	0.9880239746540741
Zbtb17	Wrnip1	0.9880239746540741
Tcf3	Epsti1	0.9880202074237042
Rorc	Txk	0.9880164401933342
Zbed4	Dusp12	0.9880164401933342
Klf4	Trp53i13	0.9880126729629644
Klf13	Tnfsf11	0.9880013712718546
Jun	Rgs11	0.987990069580745
Clock	Rgs19	0.9879260266644566
Hif1a	Tpd52	0.987910957742977
Satb1	Runx2	0.9878958888214974
Kdm2b	Tgoln1	0.9878770526696478
Hif3a	Satb1	0.987869518208908
Satb1	Phtf2	0.9878657509785381
Ahr	Mcoln2	0.9878582165177983
Zhx1	Cltb	0.9878582165177983
Hif1a	Anxa2	0.9878431475963186
